"date","time","event_type","geo_type","mag","mag_type","lat","lon","depth","quality","evid","nph","ngrm","datetime","date_only","year","month","year_month"
"2000/05/27","03:35:34.37","eq","l",4.05,"l",35.78,-117.651,0,"A",9152038,122,2015,2000-05-27 03:35:34.37,2000-05-27,2000,2000-05-01,"2000-05"
"2000/06/26","15:43:07.55","eq","l",4.51,"l",34.78217,-116.29683,3.2,"A",9155518,92,2126,2000-06-26 15:43:07.55,2000-06-26,2000,2000-06-01,"2000-06"
"2001/05/17","21:53:45.57","eq","l",4.25,"l",35.799,-118.04367,7.5,"A",9653349,286,1552,2001-05-17 21:53:45.57,2001-05-17,2001,2001-05-01,"2001-05"
"2001/05/17","22:56:45.85","eq","l",4.1,"l",35.796,-118.04617,7.2,"A",9653493,74,1559,2001-05-17 22:56:45.85,2001-05-17,2001,2001-05-01,"2001-05"
"2001/07/17","12:07:26.10","eq","l",5.17,"w",36.01633,-117.87433,1.9,"A",9674049,106,1491,2001-07-17 12:07:26.1,2001-07-17,2001,2001-07-01,"2001-07"
"2001/07/17","12:25:18.95","eq","l",4.07,"l",36.043,-117.87217,4.1,"C",9674097,138,1492,2001-07-17 12:25:18.95,2001-07-17,2001,2001-07-01,"2001-07"
"2001/07/17","12:59:59.17","eq","l",4.93,"w",36.017,-117.88233,-0.7,"A",9674213,189,1492,2001-07-17 12:59:59.17,2001-07-17,2001,2001-07-01,"2001-07"
"2001/07/20","12:53:07.53","eq","l",4.43,"l",35.995,-117.87717,2.3,"A",10992159,71,1529,2001-07-20 12:53:07.53,2001-07-20,2001,2001-07-01,"2001-07"
"2001/07/28","01:09:29.11","eq","l",4.01,"l",36.05817,-117.8715,0.3,"A",9686565,182,1528,2001-07-28 01:09:29.11,2001-07-28,2001,2001-07-01,"2001-07"
"2002/04/05","08:02:56.05","eq","l",4.39,"l",34.524,-116.29467,4.5,"C",9775765,88,1662,2002-04-05 08:02:56.05,2002-04-05,2002,2002-04-01,"2002-04"
"2002/09/28","10:34:47.16","eq","l",4.13,"l",35.94617,-117.3035,2.6,"A",9828889,64,1710,2002-09-28 10:34:47.16,2002-09-28,2002,2002-09-01,"2002-09"
"2002/10/29","14:16:54.08","eq","l",4.77,"l",34.80267,-116.2665,3.7,"A",9854597,57,3242,2002-10-29 14:16:54.08,2002-10-29,2002,2002-10-01,"2002-10"
"2003/01/25","09:16:10.22","eq","l",4.54,"l",35.3175,-118.65383,4.9,"C",9882329,100,1769,2003-01-25 09:16:10.22,2003-01-25,2003,2003-01-01,"2003-01"
"2003/07/15","06:15:50.75","eq","l",4.15,"l",34.62167,-116.66717,6.5,"A",9930549,158,1743,2003-07-15 06:15:50.75,2003-07-15,2003,2003-07-01,"2003-07"
"2004/09/29","22:54:54.24","eq","l",5.03,"w",35.38983,-118.6235,2.8,"A",14095628,246,1902,2004-09-29 22:54:54.24,2004-09-29,2004,2004-09-01,"2004-09"
"2005/08/06","05:40:33.46","eq","l",4.38,"l",36.13917,-118.045,-1.8,"A",14169456,117,1899,2005-08-06 05:40:33.46,2005-08-06,2005,2005-08-01,"2005-08"
"2006/03/29","01:36:23.01","eq","l",4.11,"l",35.62183,-117.5875,7.9,"A",14219360,84,1895,2006-03-29 01:36:23.01,2006-03-29,2006,2006-03-01,"2006-03"
"2006/07/12","22:20:50.22","eq","l",4.02,"l",36.071,-117.90217,3,"A",14239764,183,1859,2006-07-12 22:20:50.22,2006-07-12,2006,2006-07-01,"2006-07"
"2007/03/30","09:09:35.83","eq","l",4.11,"l",36.02767,-117.77533,-0.7,"A",14282008,52,1820,2007-03-30 09:09:35.83,2007-03-30,2007,2007-03-01,"2007-03"
"2007/10/24","12:22:48.77","eq","l",4.34,"l",35.838,-117.68467,3.5,"A",14330056,204,1939,2007-10-24 12:22:48.77,2007-10-24,2007,2007-10-01,"2007-10"
"2008/04/23","01:55:29.40","eq","l",4.14,"l",34.866,-116.34033,4.6,"A",10319993,174,1954,2008-04-23 01:55:29.4,2008-04-23,2008,2008-04-01,"2008-04"
"2008/05/01","08:11:43.22","eq","l",4.43,"l",35.47333,-118.42533,4.8,"C",10321585,271,2019,2008-05-01 08:11:43.22,2008-05-01,2008,2008-05-01,"2008-05"
"2008/11/29","21:14:09.07","eq","l",4.03,"l",35.97067,-117.32633,0.2,"A",14406196,90,2021,2008-11-29 21:14:09.07,2008-11-29,2008,2008-11-01,"2008-11"
"2008/11/30","13:03:07.28","eq","l",4.04,"l",35.97133,-117.31983,2.5,"A",14406304,151,2043,2008-11-30 13:03:07.28,2008-11-30,2008,2008-11-01,"2008-11"
"2008/12/02","16:53:09.12","eq","l",4.03,"l",35.97117,-117.32217,2.3,"A",14407020,78,2011,2008-12-02 16:53:09.12,2008-12-02,2008,2008-12-01,"2008-12"
"2008/12/06","04:18:42.85","eq","l",5.06,"w",34.81333,-116.41883,6.4,"A",14408052,298,2010,2008-12-06 04:18:42.85,2008-12-06,2008,2008-12-01,"2008-12"
"2008/12/13","17:16:46.47","eq","l",4.01,"l",35.972,-117.31733,-1,"A",10366101,88,1990,2008-12-13 17:16:46.47,2008-12-13,2008,2008-12-01,"2008-12"
"2009/01/31","21:09:22.59","eq","l",4.39,"l",35.4135,-117.78583,7.4,"A",14418600,233,1931,2009-01-31 21:09:22.59,2009-01-31,2009,2009-01-01,"2009-01"
"2009/05/23","22:58:32.94","eq","l",4.73,"l",36.39617,-117.83767,-0.6,"A",14462064,212,2036,2009-05-23 22:58:32.94,2009-05-23,2009,2009-05-01,"2009-05"
"2009/10/01","10:01:24.67","eq","l",5,"w",36.38783,-117.85867,4,"C",14517500,94,2071,2009-10-01 10:01:24.67,2009-10-01,2009,2009-10-01,"2009-10"
"2009/10/03","01:09:19.14","eq","l",4.74,"l",36.391,-117.86383,0.7,"A",14519756,66,2057,2009-10-03 01:09:19.14,2009-10-03,2009,2009-10-01,"2009-10"
"2009/10/03","01:10:26.10","eq","l",4.85,"l",36.38633,-117.86817,1.7,"C",14519764,57,2058,2009-10-03 01:10:26.1,2009-10-03,2009,2009-10-01,"2009-10"
